제형코드,제형명칭,동일 제형군
TB,"정제, 저작정","TB, CH, CS"
CH,경질캡슐제,"TB, CH, CS"
CS,연질캡슐제,"TB, CH, CS"
CE,장용캡슐제,"CE, TE"
TE,장용정제,"CE, TE"
TD,"확산정, 속붕정, 구강붕해정",-
TR,서방형정제,"TR, CR"
CR,서방캡슐제,"TR, CR"
TL,설하정,-
TC,구강정,-
TO,트로키제,-
GN,"과립제, 세립","GN, PD"
PD,산제,"GN, PD"
GE,장용과립제,-
GR,서방형과립제,-
LQ,액제,-
SY,"시럽제, 건조시럽","SY, SS"
SS,"현탁제, 현탁액용정제, 현탁액용산제","SY, SS"
LN,리니멘트제,-
LT,로션제,-
EM,유제,-
AW,방향수제,-
SR,주정제,-
EL,엘릭서제,-
LE,레모네이드제,-
OS,점안제(점안액),-
OO,"안연고제, 점안겔제",-
XD,건조엑스제,"XD, XL, XS"
XL,유동엑스제,"XD, XL, XS"
XS,연조엑스제,"XD, XL, XS"
IJ,주사제,-
IM,이식제 및 체내장치,-
IS,관류액 등,-
SI,분무제 및 흡입제,-
AE,에어로솔제,-
SP,좌제,-
PI,환제,-
CM,"크림제, 겔제, 젤리","CM, OM, PA"
OM,연고제,"CM, OM, PA"
PA,페이스트제,"CM, OM, PA"
TS,경피흡수제,-
PO,카타플라스마제,"PO, PC, PL"
PC,패취제,"PO, PC, PL"
PL,"경고제, 첩부제","PO, PC, PL"
DS,스폰지 및 드레싱,-
TT,틴크제,-
EN,포말,-
EX,"검사용 (시험지, 시약, 키트)",-
MS,기타제형,-
