제품코드,제품명,업체명,규격,단위,급여구분,투여경로,약효분류번호,저가필수구분,전문일반구분,생동인정제품,주성분코드,임의조제불가구분,사용장려비용가산,상한가,예외약1,예외약2,적용개시일자,적용종료일자
650001900,잔탁정150밀리그램(라니티딘염산염)_(0.168g/1정),(주)글락소스미스클라인,1,정,급여정지,내복,232,,전문,,222801ATB,,0,267,,,2019-09-27,
051600030,잔탁정75밀리그램(라니티딘염산염)_(84mg/1정),(주)글락소스미스클라인컨슈머헬스케어코리아,1,정,급여정지,내복,232,,일반,,222805ATB,,0,182,,,2019-09-27,
650001061,잔탁주(라니티딘염산염)_(56mg/2mL),(주)글락소스미스클라인,2,mL/앰플,급여정지,주사,232,,전문,,222830BIJ,,0,630,,,2019-09-27,
650001900,잔탁정150밀리그램(라니티딘염산염)_(0.168g/1정),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,267,,,2018-02-01,2019-09-26
650001900,잔탁정150밀리그램(라니티딘염산염)_(0.168g/1정),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,268,,,2017-02-01,2018-01-31
051600030,잔탁정75밀리그램(라니티딘염산염)_(84mg/1정),(주)글락소스미스클라인컨슈머헬스케어코리아,1,정,급여,내복,232,,일반,,222805ATB,,0,182,,,2017-02-01,2019-09-26
650001061,잔탁주(라니티딘염산염)_(56mg/2mL),(주)글락소스미스클라인,2,mL/앰플,급여,주사,232,,전문,,222830BIJ,,0,630,,,2017-02-01,2019-09-26
650001060,잔탁주(라니티딘염산염),(주)글락소스미스클라인,2,ml/앰플,삭제,주사,232,,전문,,222804BIJ,,0,0,,,2016-10-01,
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,삭제,내복,232,,일반,,222805ATB,,0,0,,,2016-08-01,
650001900,잔탁정150밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,268,,,2016-03-01,2017-01-31
051600030,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인컨슈머헬스케어코리아,1,정,급여,내복,232,,일반,,222805ATB,,0,182,,,2016-03-01,2017-01-31
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,일반,,222805ATB,,0,182,,,2016-03-01,2016-07-31
051600030,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인컨슈머헬스케어코리아,1,정,급여,내복,232,,일반,,222805ATB,,0,183,,,2016-02-01,2016-02-29
650001061,잔탁주(라니티딘염산염),(주)글락소스미스클라인,2,mL/앰플,급여,주사,232,,전문,,222830BIJ,,0,630,,,2016-01-01,2017-01-31
650001060,잔탁주(라니티딘염산염),(주)글락소스미스클라인,2,ml/앰플,급여,주사,232,,전문,,222804BIJ,,0,630,,,2014-07-01,2016-09-30
650001900,잔탁정150밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,270,,,2014-02-01,2016-02-29
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,일반,,222805ATB,,0,183,,,2014-02-01,2016-02-29
650001060,잔탁주(라니티딘염산염),(주)글락소스미스클라인,2,ml/앰플,급여,주사,232,,전문,,222804BIJ,,0,700,,,2014-02-01,2014-06-30
650001900,잔탁정150밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,270,,,2013-07-01,2014-01-31
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,일반,,222805ATB,,0,183,,,2013-07-01,2014-01-31
650001060,잔탁주(라니티딘염산염),(주)글락소스미스클라인,2,ml/앰플,급여,주사,232,,전문,,222804BIJ,,0,700,,,2013-07-01,2014-01-31
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,일반,,222805ATB,,0,203,,,2013-03-01,2013-06-30
650001900,잔탁정150밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,300,,,2012-07-01,2013-06-30
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,203,,,2012-07-01,2013-02-28
650001060,잔탁주(라니티딘염산염),(주)글락소스미스클라인,2,ml/앰플,급여,주사,232,,전문,,222804BIJ,,0,758,,,2012-07-01,2013-06-30
650001900,잔탁정150밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,335,,,2012-04-01,2012-06-30
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,227,,,2012-04-01,2012-06-30
650001060,잔탁주(라니티딘염산염),(주)글락소스미스클라인,2,ml/앰플,급여,주사,232,,전문,,222804BIJ,,0,824,,,2012-04-01,2012-06-30
650001900,잔탁정150밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,467,,,2011-07-01,2012-03-31
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,316,,,2011-07-01,2012-03-31
650001060,잔탁주(라니티딘염산염),(주)글락소스미스클라인,2,ml/앰플,급여,주사,232,,전문,,222804BIJ,,0,883,,,2011-07-01,2012-03-31
650001900,잔탁정150밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,501,,,2011-06-01,2011-06-30
W20891851,잔탁정,글락소스미스클라인,1,정,삭제,내복,232,,전문,,222801ATB,,0,0,,,2010-05-01,
W20891831,잔탁정75mg,글락소스미스클라인,1,정,삭제,내복,232,,전문,,222805ATB,,0,0,,,2010-05-01,
W20890481,잔탁주,글락소스미스클라인,2,ml/앰플,삭제,주사,232,,전문,,222804BIJ,,0,0,,,2010-05-01,
A00400981,잔탁정,글락소스미스클라인,1,정,삭제,내복,232,,전문,,222801ATB,,0,0,,,2009-09-01,
A00450061,잔탁정75mg,글락소스미스클라인,1,정,삭제,내복,232,,전문,,222805ATB,,0,0,,,2009-06-01,
W20891851,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,502,,,2009-03-01,2010-04-30
650001900,잔탁정150밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,502,,,2009-03-01,2011-05-31
A00400981,잔탁정,글락소스미스클라인,1,정,급여,내복,232,,전문,,222801ATB,,0,502,,,2009-02-01,2009-08-31
A00450061,잔탁정75mg,글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,340,,,2009-02-01,2009-05-31
W20891831,잔탁정75mg,글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,340,,,2009-02-01,2010-04-30
650001890,잔탁정75밀리그램(라니티딘염산염),(주)글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,340,,,2009-02-01,2011-06-30
W20891831,잔탁정75mg,글락소스미스클라인,1,정,급여,내복,232,,전문,,222805ATB,,0,342,,,2008-12-01,2009-01-31
