"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","의료기관종별명","의료인수","입원실수","병상수","총면적","진료과목내용","진료과목내용명","지정취소일자","완화의료지정형태","완화의료담당부서명","구급차특수","구급차일반","총인원","구조사수","허가병상수","최초지정일자"
"3000000","PHMA219663000034021200001","19660119","","03","폐업","03","폐업","20080930","","","","02-760-5114","","110126","서울특별시 종로구 종로6가 70","","","이대부속동대문병원","20091019105921","I","2018-08-31 23:59:59.0","종합병원","","","종합병원","78","24","101","11138","101 104 105 108 106 110 103 111 114 112 113 109 115 118 119 122 120 107 116 116 125 102 401","치과 신경과 응급의학과 영상의학과 흉부외과 재활의학과 가정의학과 진단검사의학과 병리과 비뇨의학과 마취통증의학과 이비인후과 안과 피부과 소아청소년과 정신건강의학과 산부인과 신경외과 성형외과 정형외과 외과 내과","","","","0","0","","","0",""
"3000000","PHMA219773000034021200001","19770401","","01","영업/정상","13","영업중","","","","","02-2002-8000","","","","서울특별시 종로구 새문안로 9 적십자병원 (평동)","03181","서울적십자병원","20200928140225","U","2019-12-08 21:00:00.0","종합병원","197013.490218964","451678.787536538","","","","","","","","","","","","","","","",""
"3000000","PHMA219793000034021200001","19790324","","01","영업/정상","13","영업중","","","","","02-2001-2001","","110746","서울특별시 종로구 평동 108","서울특별시 종로구 새문안로 29 (평동)","03181","강북삼성병원","20210316132852","U","2020-12-02 23:08:00.0","종합병원","197111.969637621","452095.96819900000","","","","","","","","","","","","","","","",""
"3000000","PHMA219813000034021200001","19810709","","01","영업/정상","13","영업중","","","","","1588-5700","","110744","서울특별시 종로구 연건동 28","서울특별시 종로구 대학로 101 (연건동)","03080","서울대학교병원","20210210172344","U","2020-12-01 23:02:00.0","종합병원","199920.803380964","452984.360451452","","","","","","","","","","","","","","","",""
"3000000","PHMA219823000034021200001","19820924","","03","폐업","03","폐업","20130108","","","","02-730-5191","","110300","서울특별시 종로구 관훈동 196-10","","","해정병원","20130108143140","I","2018-08-31 23:59:59.0","병원","","","병원","8","6","30","2848","101 116","영상의학과 내과","","","","0","0","","","0",""
"3000000","PHMA219873000034021200001","19870424","","01","영업/정상","13","영업중","","","","","02-737-0181","","110080","서울특별시 종로구 무악동 32번지 2호","서울특별시 종로구 통일로 256 (무악동)","03030","세란병원","20200709095440","U","2019-12-06 23:01:00.0","종합병원","196173.853620552","452543.712240555","","","","","","","","","","","","","","","",""
"3000000","PHMA219893000034021200002","19891012","","01","영업/정상","13","영업중","","","","","02-397-3915","","","","서울특별시 종로구 삼청로10길 13 (삼청동)","03050","서울지구병원","20200228160711","U","2020-03-01 02:40:00.0","병원","198416.776072109    ","453972.44089667     ","병원","49","11","30","7995.33","401 125 122 119 118 116 115 114 113 112 111 110 109 106 105 104 102 101","내과 신경과 외과 정형외과 신경외과 마취통증의학과 산부인과 소아청소년과 안과 이비인후과 피부과 비뇨의학과 영상의학과 병리과 진단검사의학과 가정의학과 응급의학과 치과","","","","0","0","","","0",""
"3000000","PHMA220043000034021200001","20040901","","01","영업/정상","13","영업중","","","","","02-2072-2655","","","","서울특별시 종로구 대학로 101 (연건동)","03080","서울대학교치과병원","20190925074803","U","2019-11-20 02:40:00.0","치과병원","199920.803380964    ","452984.360451452    ","치과병원","250","15","40","20778.51","109 402 403 404 405 406 407 408 409 410","구강병리과 영상치의학과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과 마취통증의학과","","","","0","0","","","0",""
"3000000","PHMA220063000034021200001","20060803","","03","폐업","03","폐업","20120217","","","","02-732-2875","","110773","서울특별시 종로구 종로2가 75번지 9호","서울특별시 종로구 종로 78 (종로2가)","110773","밀레니엄치과병원","20120217111529","I","2018-08-31 23:59:59.0","치과병원","198696.792161159    ","451962.68240104     ","치과병원","2","0","0","310","201 202 203 204 205 206 207 208 209 210","예방치과 구강병리과 구강악안면방사선과 구강내과 치과보존과 치주과 소아치과 치과교정과 치과보철과 구강악안면외과","","","","0","0","","","0",""
"3000000","PHMA220083000034021200001","20080624","","03","폐업","03","폐업","20181001","","","","02-766-2004","","110808","서울특별시 종로구 돈의동 78번지","서울특별시 종로구 돈화문로9길 26 (돈의동)","03139","춘원당한방병원","20181001134047","U","2018-10-03 02:35:18.0","한방병원","199079.009091626    ","452168.088676879    ","한방병원","8","7","31","2182.81","301 303 304 305 306 307 308 302","한방부인과 침구과 사상체질과 한방재활의학과 한방신경정신과 한방안?이비인후?피부과 한방소아과 한방내과","","","","0","0","","","0",""
