"개방자치단체코드","관리번호","인허가일자","인허가취소일자","영업상태코드","영업상태명","상세영업상태코드","상세영업상태명","폐업일자","휴업시작일자","휴업종료일자","재개업일자","전화번호","소재지면적","소재지우편번호","지번주소","도로명주소","도로명우편번호","사업장명","최종수정일자","데이터갱신구분","데이터갱신일자","업태구분명","좌표정보(X)","좌표정보(Y)","약국영업면적","지정일자"
"3000000","PHMD119653000034084000001","19810924","","01","영업/정상","13","영업중","","","","","02-743-7371","","","서울특별시 종로구 창신동 687-26","서울특별시 종로구 창신길 11 (창신동)","03101","동인약국","20150316101040","I","2018-08-31 23:59:59.0","","200856.552725308    ","452215.161208068    ","약국","19810924"
"3000000","PHMD119653000034084000002","19990817","","01","영업/정상","13","영업중","","","","","02-764-4548","","110390","서울특별시 종로구 봉익동 22번지 2호","서울특별시 종로구 돈화문로6가길 40 (봉익동)","03138","대흥사약국","20130318155937","I","2018-08-31 23:59:59.0","","199243.356283503    ","452246.698859598    ","약국","19990817"
"3000000","PHMD119653000034084000003","20040102","20120102","03","폐업","03","폐업","20120102","","","","02-720-0099","","","서울특별시 종로구 세종로 157-4","서울특별시 종로구 세종대로 169 (세종로)","110822","세종약국","20120102131234","I","2018-08-31 23:59:59.0","","197838.202391847    ","452132.776168701    ","약국","20040102"
"3000000","PHMD119673000034084000001","20080103","20130628","03","폐업","03","폐업","20130628","","","","02-733-3777","","110053","서울특별시 종로구 내자동 21번지 1호","서울특별시 종로구 사직로 111-1 (내자동)","110053","종로메디칼약국","20130628095818","I","2018-08-31 23:59:59.0","","197379.970714412    ","452663.981772217    ","약국","20080103"
"3000000","PHMD119683000034084000001","20020514","20150107","03","폐업","03","폐업","20150107","","","","02-725-9907","","","서울특별시 종로구 세종로 77-6 정부종합청사 후생관 1층","서울특별시 종로구 세종대로 209 (세종로)","110050","청사약국","20150107095947","I","2018-08-31 23:59:59.0","","197759.173462514    ","452506.21248055     ","약국","20020514"
"3000000","PHMD119683000034084000002","19681115","20180907","03","폐업","03","폐업","20180907","","","","02-763-2220","","","서울특별시 종로구 가회동 30-9","서울특별시 종로구 북촌로 51-1 (가회동)","03052","돈미약국","20180907162815","U","2018-09-07 23:59:59.0","","198595.845834068    ","453248.526948683    ","약국","19681115"
"3000000","PHMD119683000034084000003","19700226","20121122","03","폐업","03","폐업","20121122","","","","02-735-8041","","","서울특별시 종로구 관철동 7-19","서울특별시 종로구 종로14길 23 (관철동)","110111","동화약국","20121122175641","I","2018-08-31 23:59:59.0","","198779.300900189    ","451848.987905636    ","약국","19700226"
"3000000","PHMD119683000034084000004","19790116","20130225","03","폐업","03","폐업","20130225","","","","02-735-0646","","","서울특별시 종로구 교남동 6","","","십자약국","20130225112536","I","2018-08-31 23:59:59.0","","","","약국","19790116"
"3000000","PHMD119683000034084000005","20001122","20120430","03","폐업","03","폐업","20120430","","","","02-2121-7654","","","서울특별시 종로구 서린동 115-1외35필지 S.K빌딩 지하1층","","","S.K보금약국","20120430135203","I","2018-08-31 23:59:59.0","","","","약국","20001122"
"3000000","PHMD119693000034084000001","19741028","","01","영업/정상","13","영업중","","","","","02-736-6512","","","서울특별시 종로구 적선동 106-3","서울특별시 종로구 자하문로 2 (적선동)","03044","시민약국","20130606100915","I","2018-08-31 23:59:59.0","","197521.540529717    ","452673.955182068    ","약국","19741028"
"3000000","PHMD119703000034084000001","19651220","20160302","03","폐업","03","폐업","20160302","","","","02-742-4104","","","서울특별시 종로구 낙원동 233","서울특별시 종로구 종로17길 46 (낙원동)","03140","파고다약국","20160302143612","I","2018-08-31 23:59:59.0","","198901.619613483    ","452209.745850827    ","약국","19651220"
"3000000","PHMD119703000034084000002","19801203","20091117","03","폐업","03","폐업","20090803","","","","02-738-9219","","","서울특별시 종로구 무악동 67-2","","","정원약국","20091117153842","I","2018-08-31 23:59:59.0","","","","약국","19801203"
"3000000","PHMD119723000034084000001","20010423","20110415","03","폐업","03","폐업","20110415","","","","02-2277-8567","","","서울특별시 종로구 종로4가 177","","","우정약국","20110415150154","I","2018-08-31 23:59:59.0","","","","약국","20010423"
