성분코드,성분명,함량,단일복합,주성분코드,제형코드,투여경로,투여경로명,제형명칭,동일 제형군,함량수치,함량단위
100101AGN,상황균사체엑스,1.1g,단일,100101AGN,GN,A,내복제,"과립제, 세립","GN, PD",1.1,g
101803AGN,acetylcysteine,100mg,단일,101803AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
101804AGN,acetylcysteine,200mg,단일,101804AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
101806AGN,acetylcysteine , 200mg,단일,101806AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0, mg
125901AGN,cefdinir,100mg,단일,125901AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
126001AGN,cefditoren pivoxil,100mg,단일,126001AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
128401AGN,cefteram pivoxil,100mg,단일,128401AGN,GN,A,내복제,"과립제, 세립","GN, PD",100.0,mg
153601AGN,erythromycin propionate,250mg,단일,153601AGN,GN,A,내복제,"과립제, 세립","GN, PD",250.0,mg
153602AGN,erythromycin propionate,500mg,단일,153602AGN,GN,A,내복제,"과립제, 세립","GN, PD",500.0,mg
163401AGN,fosfomycin trometamol,375mg,단일,163401AGN,GN,A,내복제,"과립제, 세립","GN, PD",375.0,mg
164702AGN,gastamin,200mg,단일,164702AGN,GN,A,내복제,"과립제, 세립","GN, PD",200.0,mg
167701AGN,guar gum,4.75g,단일,167701AGN,GN,A,내복제,"과립제, 세립","GN, PD",4.75,g
171402AGN,hydrotalcite,500mg,단일,171402AGN,GN,A,내복제,"과립제, 세립","GN, PD",500.0,mg
171403AGN,hydrotalcite,666mg,단일,171403AGN,GN,A,내복제,"과립제, 세립","GN, PD",666.0,mg
180501AGN,lactobacillus acidophillus,300mg,단일,180501AGN,GN,A,내복제,"과립제, 세립","GN, PD",300.0,mg
180502AGN,lactobacillus acidophillus,464mg,단일,180502AGN,GN,A,내복제,"과립제, 세립","GN, PD",464.0,mg
180503AGN,lactobacillus acidophillus,75mg,단일,180503AGN,GN,A,내복제,"과립제, 세립","GN, PD",75.0,mg
187202AGN,magnesium aluminum silicate,667mg,단일,187202AGN,GN,A,내복제,"과립제, 세립","GN, PD",667.0,mg
208101AGN,p-aminosalicylic calcium,800mg,단일,208101AGN,GN,A,내복제,"과립제, 세립","GN, PD",800.0,mg
214601AGN,plantago seed / plantago seed cortex,680mg,단일,214601AGN,GN,A,내복제,"과립제, 세립","GN, PD",680.0,mg
215302AGN,polysaccharide-K,667mg,단일,215302AGN,GN,A,내복제,"과립제, 세립","GN, PD",667.0,mg
221001AGN,psyllium husk,0.65g,단일,221001AGN,GN,A,내복제,"과립제, 세립","GN, PD",0.65,g
